Alpha,M1 Takeoff, , Alpha,M1cruise, , Alpha,M2 cruise, , Alpha,M2 takeoff, , Alpha,M3 cruise, , Alpha,M3 takeoff, , 
          -20,     0.2149335, ,           -20,     0.1716417, ,           -20,     0.1721036, ,           -20,     0.2125281, ,           -20,     0.1721036, ,           -20,     0.2125281, , 
        -19.5,     0.2090634, ,         -19.5,     0.1639744, ,         -19.5,     0.1644063, ,         -19.5,     0.2066686, ,         -19.5,     0.1644063, ,         -19.5,     0.2066686, , 
          -19,     0.2033303, ,           -19,     0.1564218, ,           -19,     0.1568244, ,           -19,     0.2009485, ,           -19,     0.1568244, ,           -19,     0.2009485, , 
        -18.5,     0.1977393, ,         -18.5,     0.1489899, ,         -18.5,     0.1493639, ,         -18.5,     0.1953729, ,         -18.5,     0.1493639, ,         -18.5,     0.1953729, , 
          -18,     0.1922956, ,           -18,     0.1416844, ,           -18,     0.1420306, ,           -18,     0.1899469, ,           -18,     0.1420306, ,           -18,     0.1899469, , 
        -17.5,     0.1870038, ,         -17.5,      0.134511, ,         -17.5,     0.1348301, ,         -17.5,     0.1846752, ,         -17.5,     0.1348301, ,         -17.5,     0.1846752, , 
          -17,     0.1818688, ,           -17,     0.1274752, ,           -17,     0.1277681, ,           -17,     0.1795627, ,           -17,     0.1277681, ,           -17,     0.1795627, , 
        -16.5,     0.1768953, ,         -16.5,     0.1205826, ,         -16.5,     0.1208501, ,         -16.5,      0.174614, ,         -16.5,     0.1208501, ,         -16.5,      0.174614, , 
          -16,     0.1720876, ,           -16,     0.1138384, ,           -16,     0.1140814, ,           -16,     0.1698335, ,           -16,     0.1140814, ,           -16,     0.1698335, , 
        -15.5,     0.1674501, ,         -15.5,      0.107248, ,         -15.5,     0.1074672, ,         -15.5,     0.1652257, ,         -15.5,     0.1074672, ,         -15.5,     0.1652257, , 
          -15,     0.1629872, ,           -15,     0.1008163, ,           -15,     0.1010127, ,           -15,     0.1607947, ,           -15,     0.1010127, ,           -15,     0.1607947, , 
        -14.5,     0.1587027, ,         -14.5,    0.09454844, ,         -14.5,    0.09472294, ,         -14.5,     0.1565446, ,         -14.5,    0.09472294, ,         -14.5,     0.1565446, , 
          -14,     0.1546007, ,           -14,    0.08844918, ,           -14,    0.08860269, ,           -14,     0.1524793, ,           -14,    0.08860269, ,           -14,     0.1524793, , 
        -13.5,     0.1506849, ,         -13.5,    0.08252325, ,         -13.5,    0.08265673, ,         -13.5,     0.1486026, ,         -13.5,    0.08265673, ,         -13.5,     0.1486026, , 
          -13,      0.146959, ,           -13,    0.07677524, ,           -13,    0.07688963, ,           -13,     0.1449181, ,           -13,    0.07688963, ,           -13,     0.1449181, , 
        -12.5,     0.1434265, ,         -12.5,    0.07120957, ,         -12.5,    0.07130586, ,         -12.5,     0.1414293, ,         -12.5,    0.07130586, ,         -12.5,     0.1414293, , 
          -12,     0.1400906, ,           -12,    0.06583055, ,           -12,    0.06590973, ,           -12,     0.1381395, ,           -12,    0.06590973, ,           -12,     0.1381395, , 
        -11.5,     0.1369546, ,         -11.5,    0.06064231, ,         -11.5,    0.06070539, ,         -11.5,     0.1350519, ,         -11.5,    0.06070539, ,         -11.5,     0.1350519, , 
          -11,     0.1340214, ,           -11,    0.05564886, ,           -11,    0.05569686, ,           -11,     0.1321693, ,           -11,    0.05569686, ,           -11,     0.1321693, , 
