Thrust ,Velocity
3.896291156,0
3.896056876,0.1
3.895822596,0.2
3.895588316,0.3
3.895354036,0.4
3.895119756,0.5
3.894885476,0.6
3.894651195,0.7
3.894416915,0.8
3.894182635,0.9
3.893948355,1
3.893714075,1.1
3.893479795,1.2
3.893245515,1.3
3.893011235,1.4
3.892776954,1.5
3.892530282,1.6
3.892279133,1.7
3.891921391,1.8
3.89156365,1.9
3.891205908,2
3.890848167,2.1
3.890490425,2.2
3.890132684,2.3
3.889774942,2.4
3.889417201,2.5
3.889059459,2.6
3.888701718,2.7
3.888343976,2.8
3.887986235,2.9
3.887628493,3
3.887266079,3.1
3.886878213,3.2
3.886490348,3.3
3.886099682,3.4
3.885603824,3.5
3.885107966,3.6
3.884612108,3.7
3.88411625,3.8
3.883620393,3.9
3.883124535,4
3.882628677,4.1
3.882132819,4.2
3.881636961,4.3
3.881141103,4.4
3.880645245,4.5
3.880149387,4.6
3.87963469,4.7
3.879119129,4.8
3.878603568,4.9
3.878088007,5
3.877566839,5.1
3.876907094,5.2
3.876247349,5.3
3.875587604,5.4
3.87492786,5.5
3.874268115,5.6
3.87360837,5.7
3.872948625,5.8
3.87228888,5.9
3.871629135,6
3.87096939,6.1
3.870294541,6.2
3.869586109,6.3
3.868877676,6.4
3.868169244,6.5
3.867460812,6.6
3.86675238,6.7
3.865954253,6.8
3.865066028,6.9
3.864177804,7
3.863289579,7.1
3.862401355,7.2
3.86151313,7.3
3.860624906,7.4
3.859736681,7.5
3.858848457,7.6
3.857954559,7.7
3.857015368,7.8
3.856076176,7.9
3.855136985,8
3.854197793,8.1
3.853258602,8.2
3.852319411,8.3
3.851380219,8.4
3.850308367,8.5
3.849109994,8.6
3.847911621,8.7
3.846713249,8.8
3.845514876,8.9
3.844316504,9
3.843118131,9.1
3.841919758,9.2
3.840665539,9.3
3.839347158,9.4
3.838028777,9.5
3.836710396,9.6
3.835392015,9.7
3.834073634,9.8
3.832755253,9.9
3.831436873,10
3.830118492,10.1
3.828618749,10.2
3.826954793,10.3
3.825290838,10.4
3.823626882,10.5
3.821962926,10.6
3.82029897,10.7
3.818577314,10.8
3.816696789,10.9
3.814816265,11
3.81293574,11.1
3.811055216,11.2
3.809174691,11.3
3.807294167,11.4
3.805413642,11.5
3.803533118,11.6
3.801652593,11.7
3.799772069,11.8
3.797473402,11.9
3.794815333,12
3.792157265,12.1
3.789499197,12.2
3.786821993,12.3
3.783880431,12.4
3.78093887,12.5
3.777997309,12.6
3.775055747,12.7
3.772114186,12.8
3.769172624,12.9
3.766231063,13
3.763289502,13.1
3.76034794,13.2
3.757406379,13.3
3.754464818,13.4
3.751523256,13.5
3.747641984,13.6
3.742994146,13.7
3.738346309,13.8
3.733601754,13.9
3.728724484,14
3.723847214,14.1
3.718969943,14.2
3.714092673,14.3
3.709215403,14.4
3.704338133,14.5
3.699460862,14.6
3.694583592,14.7
3.689706322,14.8
