Velocity (m/s),Thrust(kgf),,velocity (m/s),thrust (kgf)
0,5.527619776,,0,5.52877551
0.601560816,5.490405541,,0.1,5.522447754
1.203121632,5.452446077,,0.2,5.516119999
1.804682448,5.412248204,,0.3,5.509792243
2.406243264,5.372028042,,0.4,5.503464487
3.00780408,5.329171826,,0.5,5.497136731
3.609364896,5.285945735,,0.6,5.490808975
4.210925712,5.241532417,,0.7,5.484481219
4.812486527,5.195007623,,0.8,5.478153464
5.414047343,5.148648594,,0.9,5.471825708
6.015608159,5.098973608,,1,5.465497952
6.617168975,5.049354628,,1.1,5.459170196
7.218729791,4.997948385,,1.2,5.45284244
7.820290607,4.944714731,,1.3,5.446514684
8.421851423,4.891793464,,1.4,5.440186928
9.023412239,4.83481039,,1.5,5.433683114
9.624973055,4.778544499,,1.6,5.426956118
10.22653387,4.719842608,,1.7,5.42012284
10.82809469,4.659778313,,1.8,5.413289562
11.4296555,4.599871201,,1.9,5.406456285
12.03121632,4.535372972,,2,5.399623007
12.63277713,4.472290823,,2.1,5.392789729
13.23433795,4.405967503,,2.2,5.385956452
13.83589877,4.33917991,,2.3,5.379123174
14.43745958,4.272044143,,2.4,5.372289896
15.0390204,4.200745099,,2.5,5.365456619
15.64058121,4.131143049,,2.6,5.358623341
16.24214203,4.05728837,,2.7,5.351790063
16.84370285,3.984470988,,2.8,5.344956786
17.44526366,3.910577208,,2.9,5.338110897
18.04682448,3.83315535,,3,5.330891165
18.64838529,3.757753129,,3.1,5.323671433
19.24994611,3.677329572,,3.2,5.316348365
19.85150693,3.599458126,,3.3,5.308991364
20.45306774,3.520870137,,3.4,5.301634362
21.05462856,3.440302801,,3.5,5.29427736
21.65618937,3.357147628,,3.6,5.286920358
22.25775019,3.273702737,,3.7,5.279563356
22.85931101,3.190461491,,3.8,5.272206355
23.46087182,3.103410365,,3.9,5.264849353
24.06243264,3.018270631,,4,5.257492351
24.66399345,2.929809318,,4.1,5.250135349
25.26555427,2.842235493,,4.2,5.242778347
25.86711509,2.754207514,,4.3,5.235421345
26.4686759,2.662643284,,4.4,5.227864679
27.07023672,2.573523871,,4.5,5.220143956
27.67179753,2.480117326,,4.6,5.212423232
28.27335835,2.389067507,,4.7,5.204685538
28.87491916,2.296725844,,4.8,5.196805971
29.47647998,2.201746553,,4.9,5.188926404
30.0780408,2.109240179,,5,5.181046837
30.67960161,2.011459623,,5.1,5.17316727
31.28116243,1.91751379,,5.2,5.165287703
31.88272324,1.82136522,,5.3,5.157408136
32.48428406,1.723628259,,5.4,5.149528569
33.08584488,1.628412316,,5.5,5.141649002
33.68740569,1.527574246,,5.6,5.133769435
34.28896651,1.431299878,,5.7,5.125889868
34.89052732,1.331855589,,5.8,5.117985079
35.49208814,1.232222077,,5.9,5.109719058
36.09364896,1.135100968,,6,5.101453037
36.69520977,1.031872329,,6.1,5.093187016
37.29677059,0.934243176,,6.2,5.084920994
37.8983314,0.83239725,,6.3,5.076574863
38.49989222,0.732257256,,6.4,5.068135024
39.10145304,0.634374081,,6.5,5.059695186
39.70301385,0.536533231,,6.6,5.051255347
40.30457467,0.436349279,,6.7,5.042815508
40.90613548,0.329008286,,6.8,5.034375669
41.5076963,0.22102274,,6.9,5.02593583
42.10925712,0.115274058,,7,5.017495991
42.71081793,0.01549101,,7.1,5.009056153
,,,7.2,5.000616314
,,,7.3,4.991938499
,,,7.4,4.983089473
,,,7.5,4.974240448
,,,7.6,4.965391422
,,,7.7,4.956542397
,,,7.8,4.947693371
,,,7.9,4.938707016
,,,8,4.929698236
,,,8.1,4.920689457
,,,8.2,4.911680677
,,,8.3,4.902671898
,,,8.4,4.893663118
,,,8.5,4.884654339
,,,8.6,4.875645559
,,,8.7,4.866596721
,,,8.8,4.857178755
,,,8.9,4.847760789
,,,9,4.838342822
,,,9.1,4.828924856
