RPM	CT	CP
1000.000000	0.120921	0.074606
1183.673469	0.121111	0.072504
1367.346939	0.121286	0.070854
1551.020408	0.121476	0.069545
1734.693878	0.121566	0.068421
1918.367347	0.121715	0.067515
2102.040816	0.121826	0.066724
2285.714286	0.121937	0.066038
2469.387755	0.122068	0.065446
2653.061224	0.122167	0.064933
2836.734694	0.122279	0.064467
3020.408163	0.122396	0.064064
3204.081633	0.122514	0.063700
3387.755102	0.122620	0.063394
3571.428571	0.122725	0.063109
3755.102041	0.122918	0.062830
3938.775510	0.122992	0.062598
4122.448980	0.123142	0.062371
4306.122449	0.123272	0.062208
4489.795918	0.123386	0.062043
4673.469388	0.123549	0.061880
4857.142857	0.123691	0.061760
5040.816327	0.123870	0.061637
5224.489796	0.124026	0.061531
5408.163265	0.124163	0.061452
5591.836735	0.124327	0.061380
5775.510204	0.124513	0.061316
5959.183673	0.124598	0.062456
6142.857143	0.124784	0.062412
6326.530612	0.124949	0.062382
6510.204082	0.125127	0.062364
6693.877551	0.125348	0.062353
6877.551020	0.125544	0.062349
7061.224490	0.125747	0.062355
7244.897959	0.125955	0.062382
7428.571429	0.126166	0.062386
7612.244898	0.126404	0.062426
7795.918367	0.126640	0.062491
7979.591837	0.126875	0.062527
8163.265306	0.127045	0.063831
8346.938776	0.127298	0.063879
8530.612245	0.127546	0.063961
8714.285714	0.127808	0.064033
8897.959184	0.128081	0.064154
9081.632653	0.128346	0.064225
9265.306122	0.128636	0.064334
9448.979592	0.128854	0.065724
9632.653061	0.129143	0.065834
9816.326531	0.129437	0.065960
10000.000000	0.129748	0.066096
