J	CT	CP	eta
0.024490	0.126971	0.063378	0.049063
0.048980	0.126047	0.062875	0.098190
0.073469	0.125030	0.062474	0.147037
0.097959	0.123903	0.062206	0.195118
0.122449	0.122646	0.062038	0.242075
0.146939	0.121149	0.062641	0.284183
0.171429	0.119634	0.062574	0.327750
0.195918	0.117989	0.062541	0.369619
0.220408	0.116214	0.062607	0.409130
0.244898	0.114403	0.062574	0.447744
0.269388	0.112315	0.062641	0.483010
0.293878	0.110097	0.062741	0.515689
0.318367	0.107620	0.063043	0.543486
0.342857	0.105218	0.063043	0.572225
0.367347	0.102686	0.062976	0.598981
0.391837	0.099895	0.062976	0.621549
0.416327	0.097030	0.062909	0.642140
0.440816	0.094110	0.062775	0.660858
0.465306	0.091134	0.062507	0.678410
0.489796	0.088103	0.062172	0.694083
0.514286	0.085017	0.061737	0.708214
0.538776	0.081894	0.061168	0.721330
0.563265	0.078696	0.060532	0.732290
0.587755	0.075462	0.059728	0.742581
0.612245	0.072172	0.058858	0.750741
0.636735	0.068827	0.057820	0.757947
0.661224	0.065445	0.056715	0.763000
0.685714	0.062025	0.055443	0.767128
0.710204	0.058532	0.054037	0.769291
0.734694	0.054947	0.052630	0.767029
0.759184	0.051454	0.050990	0.766089
0.783673	0.047905	0.049249	0.762291
0.808163	0.044320	0.047374	0.756058
0.832653	0.040660	0.045432	0.745195
0.857143	0.036908	0.043490	0.727420
0.881633	0.033064	0.041616	0.700471
0.906122	0.029128	0.039741	0.664134
0.930612	0.025080	0.037899	0.615836
0.955102	0.020940	0.036058	0.554660
0.979592	0.016676	0.034283	0.476496
1.004082	0.012313	0.032509	0.380292
1.028571	0.007836	0.030761	0.262025
1.053061	0.003245	0.029024	0.117753
1.077551	-0.001462	0.027303	-0.057682
1.102041	-0.006288	0.025589	-0.270789
1.126531	-0.011235	0.023878	-0.530062
1.151020	-0.016307	0.022174	-0.846462
1.175510	-0.021495	0.020466	-1.234567
1.200000	-0.026817	0.018752	-1.716114
