Alpha,,CL Cruise,CD cruise,Fz Cruise,,CL Takeoff,CD takeoff,Fz takeoff,,CM M1,CM M2,CM M3,CM takeoff
-20,,-1.211419,0.124537,-215.8475,,-0.2788091,0.160934,-6.694241,,0.410317,0.374073,0.366827,1.285918
-19.5,,-1.176259,0.117736,-209.5828,,-0.2403977,0.157076,-5.771978,,0.400206,0.364592,0.357541,1.282336
-19,,-1.140816,0.111079,-203.2676,,-0.2018232,0.153378,-4.845801,,0.390052,0.355106,0.348251,1.278628
-18.5,,-1.105096,0.104573,-196.9031,,-0.1630933,0.149845,-3.915889,,0.379859,0.345616,0.338961,1.274797
-18,,-1.069107,0.098221,-190.4907,,-0.1242153,0.14648,-2.982425,,0.36963,0.336125,0.329673,1.270842
-17.5,,-1.032855,0.09203,-184.0314,,-0.08519717,0.143287,-2.045595,,0.359367,0.326637,0.32039,1.266765
-17,,-0.9963483,0.086006,-177.5267,,-0.04604659,0.140269,-1.105584,,0.349074,0.317155,0.311116,1.262568
-16.5,,-0.9595936,0.080151,-170.9779,,-0.006771488,0.13743,-0.1625843,,0.338753,0.30768,0.301852,1.258251
-16,,-0.9225985,0.074473,-164.3862,,0.03262013,0.134774,0.7832135,,0.328409,0.298217,0.292602,1.253816
-15.5,,-0.8853707,0.068975,-157.753,,0.07212019,0.132302,1.731615,,0.318044,0.288768,0.283368,1.249265
-15,,-0.847918,0.063662,-151.0798,,0.1117205,0.13002,2.682424,,0.307661,0.279335,0.274154,1.244598
-14.5,,-0.8102482,0.058539,-144.3679,,0.1514129,0.127929,3.635442,,0.297263,0.269923,0.264962,1.239817
-14,,-0.7723693,0.053609,-137.6187,,0.1911889,0.126031,4.590469,,0.286855,0.260533,0.255795,1.234924
-13.5,,-0.7342896,0.048878,-130.8338,,0.2310403,0.124331,5.547305,,0.276438,0.251168,0.246656,1.229921
-13,,-0.6960171,0.044348,-124.0145,,0.2709584,0.122829,6.505745,,0.266016,0.241832,0.237547,1.224807
-12.5,,-0.6575603,0.040025,-117.1624,,0.3109349,0.121529,7.465585,,0.255592,0.232527,0.228472,1.219586
-12,,-0.6189277,0.035911,-110.2789,,0.3509611,0.120432,8.426619,,0.245169,0.223256,0.219432,1.214259
-11.5,,-0.5801277,0.03201,-103.3656,,0.3910284,0.119541,9.38864,,0.234751,0.214022,0.210432,1.208827
-11,,-0.541169,0.028325,-96.42407,,0.431128,0.118856,10.35144,,0.224341,0.204827,0.201473,1.203292
-10.5,,-0.5020603,0.02486,-89.45579,,0.4712514,0.11838,11.3148,,0.213942,0.195675,0.192558,1.197655
-10,,-0.4628105,0.021618,-82.46237,,0.5113896,0.118115,12.27853,,0.203556,0.186568,0.18369,1.191919
-9.5,,-0.4234285,0.018601,-75.44539,,0.5515338,0.118061,13.2424,,0.193188,0.17751,0.174872,1.186086
-9,,-0.3839233,0.015813,-68.40644,,0.5916754,0.118219,14.2062,,0.18284,0.168501,0.166106,1.180156
-8.5,,-0.3443038,0.013256,-61.34715,,0.6318052,0.118591,15.16972,,0.172515,0.159547,0.157395,1.174132
-8,,-0.3045793,0.010931,-54.26914,,0.6719146,0.119177,16.13275,,0.162218,0.150649,0.148742,1.168015
-7.5,,-0.2647588,0.008842,-47.17404,,0.7119945,0.119978,17.09507,,0.15195,0.141809,0.14015,1.161808
-7,,-0.2248518,0.00699,-40.0635,,0.752036,0.120994,18.05648,,0.141715,0.133032,0.13162,1.155513
-6.5,,-0.1848673,0.005377,-32.93917,,0.7920302,0.122225,19.01674,,0.131515,0.124318,0.123156,1.14913
-6,,-0.1448148,0.004005,-25.80273,,0.8319683,0.123673,19.97566,,0.121355,0.115672,0.11476,1.142663
-5.5,,-0.1047037,0.002875,-18.65583,,0.8718411,0.125335,20.93301,,0.111238,0.107095,0.106435,1.136113
-5,,-0.0645433,0.001988,-11.50016,,0.9116399,0.127213,21.88859,,0.101165,0.09859,0.098183,1.129483
-4.5,,-0.02434315,0.001346,-4.337398,,0.9513557,0.129306,22.84217,,0.091141,0.090161,0.090006,1.122773
-4,,0.01588732,0.000949,2.830762,,0.9909797,0.131613,23.79354,,0.081169,0.081808,0.081908,1.115987
-3.5,,0.05613861,0.000798,10.00263,,1.030503,0.134134,24.7425,,0.07125,0.073536,0.073891,1.109126
-3,,0.09640119,0.000893,17.17651,,1.069916,0.136867,25.68882,,0.06139,0.065346,0.065957,1.102192
-2.5,,0.1366655,0.001236,24.35071,,1.109211,0.139812,26.6323,,0.05159,0.057241,0.058108,1.095188
-2,,0.1769221,0.001825,31.52353,,1.148379,0.142967,27.57273,,0.041853,0.049223,0.050347,1.088115
-1.5,,0.2171615,0.002661,38.69326,,1.187411,0.146331,28.50989,,0.032183,0.041295,0.042677,1.080977
-1,,0.2573739,0.003744,45.85822,,1.226298,0.149902,29.44358,,0.022582,0.033459,0.035099,1.073774
-0.5,,0.2975501,0.005073,53.0167,,1.265032,0.153678,30.37358,,0.013053,0.025719,0.027616,1.066509
0,,0.3376804,0.006647,60.16701,,1.303604,0.157658,31.2997,,0.0036,0.018075,0.02023,1.059185
0.5,,0.3777554,0.008467,67.30746,,1.342006,0.161839,32.22172,,-0.00578,0.01053,0.012944,1.051803
1,,0.4177655,0.01053,74.43637,,1.380228,0.166219,33.13945,,-0.01507,0.003087,0.00576,1.044367
1.5,,0.4577015,0.012835,81.55206,,1.418263,0.170796,34.05267,,-0.02428,-0.00425,-0.00132,1.036877
2,,0.4975538,0.015382,88.65284,,1.456102,0.175567,34.9612,,-0.0334,-0.01148,-0.00829,1.029337
2.5,,0.5373132,0.018168,95.73705,,1.493738,0.18053,35.86483,,-0.04244,-0.01861,-0.01516,1.021748
3,,0.5769702,0.021193,102.803,,1.531161,0.185681,36.76336,,-0.05138,-0.02562,-0.02192,1.014114
3.5,,0.6165157,0.024453,109.8492,,1.568364,0.191018,37.6566,,-0.06023,-0.03252,-0.02856,1.006436
4,,0.6559404,0.027947,116.8737,,1.605338,0.196536,38.54436,,-0.06898,-0.03931,-0.03509,0.998716
4.5,,0.6952352,0.031673,123.8752,,1.642076,0.202234,39.42645,,-0.07763,-0.04598,-0.0415,0.990958
5,,0.734391,0.035628,130.8519,,1.67857,0.208107,40.30267,,-0.08618,-0.05253,-0.0478,0.983163
5.5,,0.7733988,0.03981,137.8022,,1.714812,0.214152,41.17285,,-0.09462,-0.05896,-0.05397,0.975333
6,,0.8122496,0.044215,144.7245,,1.750795,0.220366,42.0368,,-0.10295,-0.06527,-0.06002,0.967472
6.5,,0.8509347,0.048841,151.6173,,1.78651,0.226743,42.89434,,-0.11117,-0.07145,-0.06595,0.959581
7,,0.8894451,0.053685,158.479,,1.821952,0.23328,43.74529,,-0.11928,-0.07751,-0.07176,0.951664
7.5,,0.9277723,0.058743,165.308,,1.857111,0.239973,44.58947,,-0.12728,-0.08344,-0.07743,0.943721
8,,0.9659075,0.064012,172.1029,,1.891982,0.246818,45.42672,,-0.13516,-0.08923,-0.08298,0.935757
8.5,,1.003842,0.069487,178.862,,1.926557,0.25381,46.25686,,-0.14291,-0.0949,-0.08839,0.927772
9,,1.041569,0.075167,185.584,,1.960828,0.260945,47.07973,,-0.15055,-0.10043,-0.09367,0.919771
9.5,,1.079078,0.081045,192.2672,,1.994791,0.268218,47.89517,,-0.15805,-0.10583,-0.09882,0.911754
10,,1.116362,0.087119,198.9104,,2.028436,0.275624,48.70301,,-0.16543,-0.11109,-0.10384,0.903725
10.5,,1.153412,0.093384,205.5119,,2.06176,0.283157,49.5031,,-0.17269,-0.11621,-0.10871,0.895686
11,,1.190221,0.099835,212.0705,,2.094753,0.290815,50.29529,,-0.17981,-0.12119,-0.11345,0.887639
11.5,,1.226782,0.106468,218.5847,,2.127412,0.29859,51.07942,,-0.18679,-0.12602,-0.11804,0.879587
12,,1.263085,0.113279,225.0532,,2.159728,0.306478,51.85535,,-0.19364,-0.13072,-0.1225,0.871533
12.5,,1.299124,0.120261,231.4746,,2.191698,0.314473,52.62293,,-0.20035,-0.13527,-0.12681,0.863478
13,,1.334892,0.127412,237.8475,,2.223314,0.32257,53.38203,,-0.20692,-0.13967,-0.13098,0.855425
13.5,,1.37038,0.134724,244.1708,,2.254571,0.330764,54.13252,,-0.21335,-0.14393,-0.135,0.847377
14,,1.405582,0.142194,250.443,,2.285463,0.339049,54.87425,,-0.21964,-0.14804,-0.13887,0.839337
14.5,,1.440492,0.149815,256.663,,2.315986,0.347418,55.60711,,-0.22578,-0.152,-0.1426,0.831305
15,,1.475101,0.157582,262.8296,,2.346134,0.355867,56.33096,,-0.23177,-0.15581,-0.14618,0.823286
15.5,,1.509403,0.16549,268.9415,,2.375902,0.36439,57.0457,,-0.23761,-0.15946,-0.14961,0.815282
16,,1.543392,0.173532,274.9976,,2.405285,0.37298,57.75119,,-0.2433,-0.16296,-0.15288,0.807294
16.5,,1.577062,0.181704,280.9967,,2.434279,0.381631,58.44734,,-0.24883,-0.16631,-0.15601,0.799325
17,,1.610405,0.189998,286.9378,,2.462879,0.390338,59.13402,,-0.25422,-0.1695,-0.15898,0.791378
17.5,,1.643417,0.198409,292.8198,,2.49108,0.399094,59.81115,,-0.25944,-0.17254,-0.1618,0.783456
18,,1.676091,0.206931,298.6416,,2.51888,0.407893,60.47862,,-0.26451,-0.17541,-0.16446,0.77556
18.5,,1.708422,0.215557,304.4021,,2.546273,0.416728,61.13633,,-0.26941,-0.17813,-0.16697,0.767693
19,,1.740403,0.224282,310.1005,,2.573256,0.425594,61.78419,,-0.27416,-0.18069,-0.16932,0.759858
