Alpha,FZ Takeoff,FZ Cruise,CM ->,CM Takeoff M1,CM M1 Cruise,CM M2 Cruise,CM M2 Takeoff,CM M3 cruise,CM M3 takeoff,CD ->,CD cruise,CD Takeoff,CL ->,CL Takeoff,CL cruise,
-20,0.542956,-473.892,,0.288405,0.495307,0.234522,0.27926,,,,0.103646,0.118888,,0.004849,-1.058026,
-19.5,4.562073,-459.856,,0.274633,0.482692,0.229425,0.27441,,,,0.098029,0.117691,,0.040742,-1.026689,
-19,8.591259,-445.713,,0.260752,0.469938,0.224269,0.269496,,,,0.092534,0.116667,,0.076725,-0.9951128,
-18.5,12.62967,-431.465,,0.246767,0.457046,0.219054,0.264521,,,,0.087166,0.115816,,0.11279,-0.963303,
-18,16.67647,-417.116,,0.23268,0.444023,0.213783,0.259485,,,,0.08193,0.115143,,0.14893,-0.9312658,
-17.5,20.73079,-402.667,,0.218497,0.430871,0.208457,0.25439,,,,0.076829,0.114648,,0.185137,-0.8990074,
-17,24.79177,-388.122,,0.204222,0.417594,0.203077,0.249238,,,,0.071869,0.114334,,0.221404,-0.8665339,
-16.5,28.85855,-373.484,,0.18986,0.404198,0.197646,0.24403,,,,0.067052,0.114203,,0.257722,-0.8338517,
-16,32.93025,-358.755,,0.175414,0.390684,0.192165,0.238768,,,,0.062384,0.114257,,0.294085,-0.8009672,
-15.5,37.006,-343.938,,0.160889,0.377059,0.186635,0.233453,,,,0.057868,0.114497,,0.330483,-0.7678871,
-15,41.0849,-329.037,,0.14629,0.363325,0.181058,0.228088,,,,0.053508,0.114924,,0.36691,-0.7346179,
-14.5,45.16608,-314.054,,0.131621,0.349488,0.175437,0.222673,,,,0.049308,0.11554,,0.403357,-0.7011665,
-14,49.24863,-298.992,,0.116886,0.33555,0.169772,0.21721,,,,0.045271,0.116346,,0.439817,-0.6675398,
-13.5,53.33167,-283.855,,0.10209,0.321518,0.164066,0.211702,,,,0.041401,0.117343,,0.47628,-0.6337446,
-13,57.41429,-268.646,,0.087237,0.307394,0.158319,0.206149,,,,0.0377,0.118532,,0.51274,-0.5997882,
-12.5,61.4956,-253.368,,0.072332,0.293183,0.152535,0.200554,,,,0.034173,0.119914,,0.549188,-0.5656776,
-12,65.57469,-238.024,,0.05738,0.27889,0.146714,0.194918,,,,0.030822,0.121489,,0.585617,-0.5314201,
-11.5,69.65066,-222.617,,0.042385,0.264519,0.140859,0.189242,,,,0.02765,0.123257,,0.622018,-0.4970229,
-11,73.7226,-207.152,,0.027351,0.250074,0.134971,0.183529,,,,0.024661,0.125219,,0.658382,-0.4624936,
-10.5,77.78961,-191.63,,0.012284,0.235559,0.129052,0.177781,,,,0.021855,0.127374,,0.694703,-0.4278396,
-10,81.85078,-176.056,,-0.00281,0.220979,0.123104,0.171998,,,,0.019237,0.129724,,0.730971,-0.3930685,
-9.5,85.9052,-160.433,,-0.01793,0.206339,0.117128,0.166183,,,,0.016808,0.132267,,0.767179,-0.3581878,
-9,89.95198,-144.764,,-0.03308,0.191643,0.111127,0.160338,,,,0.014571,0.135003,,0.803319,-0.3232052,
-8.5,93.9902,-129.053,,-0.04823,0.176895,0.105102,0.154464,,,,0.012528,0.137931,,0.839383,-0.2881285,
-8,98.01897,-113.304,,-0.0634,0.1621,0.099055,0.148563,,,,0.01068,0.141052,,,-0.2529655,
-7.5,102.0374,-97.519,,-0.07857,0.147263,0.092988,0.142638,,,,0.009029,0.144363,,,-0.2177241,
-7,106.0445,-81.7026,,-0.09375,0.132387,0.086903,0.136689,,,,0.007577,0.147865,,,-0.182412,
-6.5,110.0396,-65.8582,,-0.10892,0.117478,0.080802,0.130718,,,,0.006326,0.151555,,,-0.1470372,
-6,114.0216,-49.9893,,-0.12409,0.10254,0.074686,0.124728,,,,0.005276,0.155433,,,-0.1116078,
-5.5,117.9896,-34.0995,,-0.13924,0.087577,0.068558,0.11872,,,,0.00443,0.159497,,,-0.07613173,
-5,121.9429,-18.1924,,-0.15437,0.072594,0.062418,0.112696,,,,0.003787,0.163746,,,-0.04061698,
-4.5,125.8805,-2.2716,,-0.16949,0.057596,0.05627,0.106658,,,,0.003348,0.168178,,,-0.005071652,
-4,129.8016,13.65929,,-0.18457,0.042588,0.050115,0.100608,,,,0.003116,0.17279,,,0.03049618,
-3.5,133.7052,29.59663,,-0.19963,0.027573,0.043955,0.094547,,,,0.003089,0.177581,,,0.06607842,
-3,137.5906,45.5368,,-0.21465,0.012556,0.037791,0.088477,,,,0.003268,0.182549,,,0.101667,
-2.5,141.4568,61.47614,,-0.22963,-0.00246,0.031626,0.082401,,,,0.003654,0.187691,,,0.1372537,
-2,145.3031,77.41103,,-0.24457,-0.01746,0.025462,0.07632,,,,0.004246,0.193005,,,0.1728304,
-1.5,149.1286,93.33782,,-0.25946,-0.03246,0.0193,0.070236,,,,0.005044,0.198489,,,0.2083891,
-1,152.9325,109.2529,,-0.27429,-0.04743,0.013142,0.06415,,,,0.006049,0.204138,,,0.2439216,
-0.5,156.714,125.1526,,-0.28907,-0.06239,0.006991,0.058065,,,,0.00726,0.209952,,,0.2794198,
0,160.4722,141.0333,,-0.30378,-0.07732,0.000847,0.051983,,,,0.008676,0.215926,,,0.3148756,
0.5,164.2063,156.8914,,-0.31843,-0.09222,-0.00529,0.045905,,,,0.010296,0.222057,,,0.3502809,
1,167.9156,172.7233,,-0.33301,-0.10709,-0.01141,0.039833,,,,0.01212,0.228342,,,0.3856277,
1.5,171.5993,188.5254,,-0.34751,-0.12191,-0.01752,0.03377,,,,0.014146,0.234778,,,0.4209079,
2,175.2566,204.294,,-0.36193,-0.13669,-0.02361,0.027716,,,,0.016373,0.241362,,,0.4561136,
2.5,178.8868,220.0258,,-0.37626,-0.15143,-0.02969,0.021674,,,,0.018801,0.248088,,,0.4912368,
3,182.489,235.717,,-0.39051,-0.16611,-0.03574,0.015646,,,,0.021427,0.254955,,,0.5262695,
3.5,186.0627,251.3641,,-0.40466,-0.18073,-0.04178,0.009633,,,,0.02425,0.261957,,,0.5612039,
4,189.607,266.9638,,-0.41871,-0.19529,-0.04779,0.003637,,,,0.027267,0.269091,,,0.5960321,
4.5,193.1212,282.5123,,-0.43266,-0.20979,-0.05378,-0.00234,,,,0.030478,0.276352,,,0.6307463,
5,196.6047,298.0064,,-0.44651,-0.22421,-0.05974,-0.0083,,,,0.03388,0.283737,,,0.6653389,
5.5,200.0567,313.4426,,-0.46024,-0.23856,-0.06567,-0.01423,,,,0.03747,0.291241,,,0.6998022,
6,203.4766,328.8174,,-0.47387,-0.25283,-0.07158,-0.02014,,,,0.041247,0.298859,,,0.7341285,
6.5,206.8638,344.1274,,-0.48737,-0.26702,-0.07745,-0.02602,,,,0.045207,0.306587,,,0.7683103,
7,210.2176,359.3695,,-0.50075,-0.28112,-0.08328,-0.03187,,,,0.049349,0.31442,,,0.8023402,
7.5,213.5373,374.5401,,-0.514,-0.29512,-0.08909,-0.0377,,,,0.053669,0.322354,,,0.8362107,
8,216.8224,389.6362,,-0.52712,-0.30903,-0.09485,-0.04349,,,,0.058164,0.330384,,,0.8699146,
8.5,220.0723,404.6543,,-0.5401,-0.32284,-0.10058,-0.04925,,,,0.062831,0.338504,,,0.9034446,
9,223.2864,419.5914,,-0.55295,-0.33654,-0.10626,-0.05497,,,,0.067667,0.34671,,,0.9367936,
9.5,226.464,434.4442,,-0.56565,-0.35013,-0.1119,-0.06066,,,,0.072668,0.354996,,,0.9699545,
10,229.6048,449.2097,,-0.57821,-0.36362,-0.1175,-0.06631,,,,0.077832,0.363358,,,1.00292,
10.5,232.708,463.8848,,-0.59062,-0.37698,-0.12305,-0.07192,,,,0.083154,0.37179,,,1.035685,
11,235.7733,478.4664,,-0.60287,-0.39022,-0.12856,-0.07748,,,,0.088631,0.380286,,,1.06824,
11.5,238.8002,492.9516,,-0.61496,-0.40333,-0.13401,-0.083,,,,0.094258,0.388842,,,1.10058,
12,241.788,507.3375,,-0.62689,-0.41632,-0.13942,-0.08848,,,,0.100033,0.397452,,,1.132698,
12.5,244.7365,521.6211,,-0.63866,-0.42917,-0.14477,-0.09391,,,,0.10595,0.40611,,,1.164589,
13,247.645,535.7997,,-0.65026,-0.44189,-0.15007,-0.09929,,,,0.112006,0.41481,,,1.196244,
13.5,250.5133,549.8704,,-0.66168,-0.45446,-0.15531,-0.10462,,,,0.118196,0.423548,,,1.227659,
14,253.3408,563.8306,,-0.67293,-0.46689,-0.16049,-0.1099,,,,0.124516,0.432317,,,1.258827,
14.5,256.1273,577.6775,,-0.684,-0.47917,-0.16562,-0.11512,,,,0.13096,0.441111,,,1.289742,
15,258.8722,591.4086,,-0.69488,-0.49129,-0.17068,-0.12029,,,,0.137526,0.449926,,,1.320398,
15.5,261.5753,605.0213,,-0.70558,-0.50326,-0.17569,-0.12541,,,,0.144207,0.458754,,,1.350791,
16,264.2363,618.5132,,-0.71609,-0.51507,-0.18063,-0.13046,,,,0.150999,0.46759,,,1.380913,
16.5,266.8547,631.8817,,-0.72641,-0.52672,-0.1855,-0.13545,,,,0.157898,0.476429,,,1.41076,
17,269.4303,645.1245,,-0.73654,-0.5382,-0.19031,-0.14039,,,,0.164897,0.485264,,,1.440326,
17.5,271.9628,658.2394,,-0.74646,-0.54951,-0.19505,-0.14526,,,,0.171992,0.494089,,,1.469607,
18,274.452,671.224,,-0.75618,-0.56064,-0.19971,-0.15006,,,,0.179178,0.502899,,,1.498597,
18.5,276.8976,684.0762,,-0.7657,-0.5716,-0.20431,-0.1548,,,,0.18645,0.511687,,,1.527291,
19,279.2993,696.7939,,-0.77501,-0.58238,-0.20884,-0.15947,,,,0.193801,0.520447,,,1.555685,
19.5,281.657,709.3751,,-0.7841,-0.59297,-0.21329,-0.16408,,,,0.201228,0.529174,,,1.583774,
20,283.9705,721.8176,,-0.79299,-0.60337,-0.21767,-0.16861,,,,0.208723,0.537861,,,1.611554,
