Alpha,M1 Takeoff, , Alpha,M1cruise,,,,,,,,,,,,, , 
-20,0.2149335, ,-20,0.1716417,,,,,,,,,,,,, , 
-19.5,0.2090634, ,-19.5,0.1639744,,,,,,,,,,,,, , 
-19,0.2033303, ,-19,0.1564218,,,,,,,,,,,,, , 
-18.5,0.1977393, ,-18.5,0.1489899,,,,,,,,,,,,, , 
-18,0.1922956, ,-18,0.1416844,,,,,,,,,,,,, , 
-17.5,0.1870038, ,-17.5,0.134511,,,,,,,,,,,,, , 
-17,0.1818688, ,-17,0.1274752,,,,,,,,,,,,, , 
-16.5,0.1768953, ,-16.5,0.1205826,,,,,,,,,,,,, , 
-16,0.1720876, ,-16,0.1138384,,,,,,,,,,,,, , 
-15.5,0.1674501, ,-15.5,0.107248,,,,,,,,,,,,, , 
-15,0.1629872, ,-15,0.1008163,,,,,,,,,,,,, , 
-14.5,0.1587027, ,-14.5,0.09454844,,,,,,,,,,,,, , 
-14,0.1546007, ,-14,0.08844918,,,,,,,,,,,,, , 
-13.5,0.1506849, ,-13.5,0.08252325,,,,,,,,,,,,, , 
-13,0.146959, ,-13,0.07677524,,,,,,,,,,,,, , 
-12.5,0.1434265, ,-12.5,0.07120957,,,,,,,,,,,,, , 
-12,0.1400906, ,-12,0.06583055,,,,,,,,,,,,, , 
-11.5,0.1369546, ,-11.5,0.06064231,,,,,,,,,,,,, , 
-11,0.1340214, ,-11,0.05564886,,,,,,,,,,,,, , 
-10.5,0.1312939, ,-10.5,0.05085405,,,,,,,,,,,,, , 
-10,0.1287748, ,-10,0.04626156,,,,,,,,,,,,, , 
-9.5,0.1264666, ,-9.5,0.04187494,,,,,,,,,,,,, , 
-9,0.1243716, ,-9,0.03769756,,,,,,,,,,,,, , 
-8.5,0.1224921, ,-8.5,0.03373264,,,,,,,,,,,,, , 
-8,0.12083, ,-8,0.02998323,,,,,,,,,,,,, , 
-7.5,0.1193871, ,-7.5,0.02645222,,,,,,,,,,,,, , 
-7,0.1181652, ,-7,0.02314232,,,,,,,,,,,,, , 
-6.5,0.1171657, ,-6.5,0.02005608,,,,,,,,,,,,, , 
-6,0.11639, ,-6,0.01719588,,,,,,,,,,,,, , 
-5.5,0.1158391, ,-5.5,0.01456393,,,,,,,,,,,,, , 
