Alpha,M1 Takeoff, , Alpha,M1cruise,,,,,,,,,,,,, , 
-20,-0.5556189, ,-20,-1.418115,,,,,,,,,,,,, , 
-19.5,-0.5191938, ,-19.5,-1.38485,,,,,,,,,,,,, , 
-19,-0.4825484, ,-19,-1.351274,,,,,,,,,,,,, , 
-18.5,-0.4456895, ,-18.5,-1.317395,,,,,,,,,,,,, , 
-18,-0.4086241, ,-18,-1.283217,,,,,,,,,,,,, , 
-17.5,-0.3713593, ,-17.5,-1.248749,,,,,,,,,,,,, , 
-17,-0.3339024, ,-17,-1.213994,,,,,,,,,,,,, , 
-16.5,-0.2962608, ,-16.5,-1.178962,,,,,,,,,,,,, , 
-16,-0.2584419, ,-16,-1.143657,,,,,,,,,,,,, , 
-15.5,-0.2204534, ,-15.5,-1.108088,,,,,,,,,,,,, , 
-15,-0.1823031, ,-15,-1.07226,,,,,,,,,,,,, , 
-14.5,-0.1439988, ,-14.5,-1.036182,,,,,,,,,,,,, , 
-14,-0.1055484, ,-14,-0.9998605,,,,,,,,,,,,, , 
-13.5,-0.06696007, ,-13.5,-0.9633026,,,,,,,,,,,,, , 
-13,-0.02824194, ,-13,-0.9265163,,,,,,,,,,,,, , 
-12.5,0.01059773, ,-12.5,-0.8895091,,,,,,,,,,,,, , 
-12,0.04955058, ,-12,-0.8522889,,,,,,,,,,,,, , 
-11.5,0.08860818, ,-11.5,-0.8148635,,,,,,,,,,,,, , 
-11,0.127762, ,-11,-0.777241,,,,,,,,,,,,, , 
-10.5,0.1670035, ,-10.5,-0.7394295,,,,,,,,,,,,, , 
-10,0.2063239, ,-10,-0.7014373,,,,,,,,,,,,, , 
-9.5,0.2457145, ,-9.5,-0.6632726,,,,,,,,,,,,, , 
-9,0.2851665, ,-9,-0.624944,,,,,,,,,,,,, , 
-8.5,0.324671, ,-8.5,-0.5864599,,,,,,,,,,,,, , 
-8,0.3642192, ,-8,-0.5478289,,,,,,,,,,,,, , 
-7.5,0.403802, ,-7.5,-0.5090598,,,,,,,,,,,,, , 
-7,0.4434105, ,-7,-0.4701612,,,,,,,,,,,,, , 
-6.5,0.4830355, ,-6.5,-0.431142,,,,,,,,,,,,, , 
-6,0.522668, ,-6,-0.3920112,,,,,,,,,,,,, , 
-5.5,0.5622988, ,-5.5,-0.3527776,,,,,,,,,,,,, , 
-5,0.6019189, ,-5,-0.3134503,,,,,,,,,,,,, , 
-4.5,0.6415189, ,-4.5,-0.2740385,,,,,,,,,,,,, , 
-4,0.6810899, ,-4,-0.2345511,,,,,,,,,,,,, , 
-3.5,0.7206224, ,-3.5,-0.1949973,,,,,,,,,,,,, , 
-3,0.7601075, ,-3,-0.1553865,,,,,,,,,,,,, , 
-2.5,0.7995357, ,-2.5,-0.1157278,,,,,,,,,,,,, , 
-2,0.838898, ,-2,-0.07603039,,,,,,,,,,,,, , 
-1.5,0.8781852, ,-1.5,-0.03630369,,,,,,,,,,,,, , 
-1,0.917388, ,-1,0.003443044,,,,,,,,,,,,, , 
-0.5,0.9564973, ,-0.5,0.04320049,,,,,,,,,,,,, , 
0,0.9955039, ,0,0.08295931,,,,,,,,,,,,, , 
0.5,1.034399, ,0.5,0.1227102,,,,,,,,,,,,, , 
1,1.073173, ,1,0.1624438,,,,,,,,,,,,, , 
1.5,1.111817, ,1.5,0.2021507,,,,,,,,,,,,, , 
2,1.150322, ,2,0.2418218,,,,,,,,,,,,, , 
2.5,1.18868, ,2.5,0.2814476,,,,,,,,,,,,, , 
3,1.226881, ,3,0.3210189,,,,,,,,,,,,, , 
3.5,1.264916, ,3.5,0.3605266,,,,,,,,,,,,, , 
4,1.302777, ,4,0.3999612,,,,,,,,,,,,, , 
4.5,1.340455, ,4.5,0.4393137,,,,,,,,,,,,, , 
