Velocity (m/s),Thrust (kgf)
0,6.286034659
0.851360728,6.275994734
1.702721457,6.26594803
2.554082185,6.25517715
3.405442914,6.243845783
4.256803642,6.232393206
5.10816437,6.21936751
5.959525099,6.206327354
6.810885827,6.19204946
7.662246556,6.176843765
8.513607284,6.161351287
9.364968012,6.143312752
10.21632874,6.125239206
11.06768947,6.105122536
11.9190502,6.083626267
12.77041093,6.061523981
13.62177165,6.035764832
14.47313238,6.009911482
15.32449311,5.980905181
16.17585384,5.950160518
17.02721457,5.918223189
17.8785753,5.881562885
18.72993602,5.844697508
19.58129675,5.803290911
20.43265748,5.759923438
21.28401821,5.714422087
22.13537894,5.663363028
22.98673967,5.611466621
23.8381004,5.552101925
24.68946112,5.493354783
25.54082185,5.430215176
26.39218258,5.361810382
27.24354331,5.294476542
28.09490404,5.2163651
28.94626477,5.138798042
29.79762549,5.055701814
30.64898622,4.967235627
31.50034695,4.879058779
32.35170768,4.780492554
33.20306841,4.682174652
34.05442914,4.57775792
34.90578986,4.468985133
35.75715059,4.358939595
36.60851132,4.240460159
37.45987205,4.121666861
38.31123278,3.996866397
39.16259351,3.869490119
40.01395423,3.739122546
40.86531496,3.605062482
41.71667569,3.469675059
42.56803642,3.329622134
43.41939715,3.190146343
44.27075788,3.044883429
45.1221186,2.901283354
45.97347933,2.757099307
46.82484006,2.610541412
47.67620079,2.461875602
48.52756152,2.311160684
49.37892225,2.162408904
50.23028298,2.00749341
51.0816437,1.85831097
51.93300443,1.705568686
52.78436516,1.552683762
53.63572589,1.403917917
54.48708662,1.246404062
55.33844735,1.099346253
56.18980807,0.947143274
57.0411688,0.796688435
57.89252953,0.652403801
58.74389026,0.497433482
59.59525099,0.357999351
60.44661172,0.211652889
61.29797244,0.050790557
