Velocity,Thrust
0,11.72248073
0.1,11.71319629
0.2,11.70391185
0.3,11.69462741
0.4,11.68534297
0.5,11.67605854
0.6,11.6667741
0.7,11.65748966
0.8,11.64820522
0.9,11.63892078
1,11.62963635
1.1,11.62035191
1.2,11.61106747
1.3,11.60178303
1.4,11.59249859
1.5,11.58321416
1.6,11.57392972
1.7,11.56432811
1.8,11.5541878
1.9,11.54401959
2,11.53382741
2.1,11.52363523
2.2,11.51344305
2.3,11.50325087
2.4,11.49305869
2.5,11.4828665
2.6,11.47267432
2.7,11.46248214
2.8,11.45228996
2.9,11.44209778
3,11.4319056
3.1,11.42171342
3.2,11.41152123
3.3,11.40132905
3.4,11.39044388
3.5,11.37936989
3.6,11.3682959
3.7,11.3572157
3.8,11.34609007
3.9,11.33496444
4,11.32383881
4.1,11.31271318
4.2,11.30158754
4.3,11.29046191
4.4,11.27933628
4.5,11.26821065
4.6,11.25708501
4.7,11.24595938
4.8,11.23483375
4.9,11.22370812
5,11.21242828
5.1,11.2003171
5.2,11.18820592
5.3,11.17609474
5.4,11.16398356
5.5,11.15187237
5.6,11.13972292
5.7,11.12755359
5.8,11.11538425
5.9,11.10321491
6,11.09104557
6.1,11.07887624
6.2,11.0667069
6.3,11.05453756
6.4,11.04236822
6.5,11.03019888
6.6,11.01802955
6.7,11.00530932
6.8,10.99209473
6.9,10.97888014
7,10.96566555
7.1,10.95245096
7.2,10.93923638
7.3,10.92602179
7.4,10.91279282
7.5,10.89951843
7.6,10.88624403
7.7,10.87296964
7.8,10.85969525
7.9,10.84642086
8,10.83314647
8.1,10.81987208
8.2,10.80659769
8.3,10.7933233
8.4,10.77905425
8.5,10.76472433
8.6,10.75039441
8.7,10.73606449
8.8,10.72173457
8.9,10.70740466
9,10.69307474
9.1,10.67874482
9.2,10.6644149
9.3,10.65003293
9.4,10.63563612
9.5,10.62123932
9.6,10.60684251
9.7,10.5924457
9.8,10.5780489
9.9,10.56365209
10,10.5488982
10.1,10.53336023
10.2,10.51782226
10.3,10.50228429
10.4,10.48674632
10.5,10.47120835
10.6,10.45567038
10.7,10.44013242
10.8,10.42459445
10.9,10.40905648
11,10.39351851
11.1,10.37795734
11.2,10.36235506
11.3,10.34675278
