 Alpha,M3 takeoff, , Alpha,M3 cruise, , , 
-20,0.2125281, ,-20,0.1721036, , , 
-19.5,0.2066686, ,-19.5,0.1644063, , , 
-19,0.2009485, ,-19,0.1568244, , , 
-18.5,0.1953729, ,-18.5,0.1493639, , , 
-18,0.1899469, ,-18,0.1420306, , , 
-17.5,0.1846752, ,-17.5,0.1348301, , , 
-17,0.1795627, ,-17,0.1277681, , , 
-16.5,0.174614, ,-16.5,0.1208501, , , 
-16,0.1698335, ,-16,0.1140814, , , 
-15.5,0.1652257, ,-15.5,0.1074672, , , 
-15,0.1607947, ,-15,0.1010127, , , 
-14.5,0.1565446, ,-14.5,0.09472294, , , 
-14,0.1524793, ,-14,0.08860269, , , 
-13.5,0.1486026, ,-13.5,0.08265673, , , 
-13,0.1449181, ,-13,0.07688963, , , 
-12.5,0.1414293, ,-12.5,0.07130586, , , 
-12,0.1381395, ,-12,0.06590973, , , 
-11.5,0.1350519, ,-11.5,0.06070539, , , 
-11,0.1321693, ,-11,0.05569686, , , 
-10.5,0.1294948, ,-10.5,0.05088801, , , 
-10,0.1270308, ,-10,0.04628253, , , 
-9.5,0.12478, ,-9.5,0.04188398, , , 
-9,0.1227447, ,-9,0.03769575, , , 
-8.5,0.1209269, ,-8.5,0.03372106, , , 
-8,0.1193287, ,-8,0.02996297, , , 
-7.5,0.1179519, ,-7.5,0.02642439, , , 
-7,0.1167982, ,-7,0.02310803, , , 
-6.5,0.1158689, ,-6.5,0.02001645, , , 
-6,0.1151654, ,-6,0.01715203, , , 
-5.5,0.1146888, ,-5.5,0.01451699, , , 
-5,0.11444, ,-5,0.01211336, , , 
-4.5,0.1144197, ,-4.5,0.009942989, , , 
-4,0.1146285, ,-4,0.008007564, , , 
-3.5,0.1150669, ,-3.5,0.006308582, , , 
-3,0.1157349, ,-3,0.00484736, , , 
-2.5,0.1166327, ,-2.5,0.003625037, , , 
-2,0.11776, ,-2,0.002642568, , , 
-1.5,0.1191166, ,-1.5,0.001900724, , , 
-1,0.1207019, ,-1,0.001400095, , , 
-0.5,0.1225151, ,-0.5,0.001141085, , , 
0,0.1245556, ,0,0.001123917, , , 
0.5,0.1268221, ,0.5,0.001348626, , , 
1,0.1293134, ,1,0.001815065, , , 
1.5,0.1320282, ,1.5,0.002522902, , , 
2,0.1349647, ,2,0.003471623, , , 
2.5,0.1381214, ,2.5,0.004660527, , , 
3,0.1414962, ,3,0.006088734, , , 
3.5,0.1450869, ,3.5,0.007755177, , , 
4,0.1488914, ,4,0.009658612, , , 
4.5,0.1529072, ,4.5,0.01179761, , , 
5,0.1571316, ,5,0.01417056, , , 
5.5,0.1615618, ,5.5,0.01677569, , , 
6,0.1661949, ,6,0.01961102, , , 
6.5,0.1710278, ,6.5,0.02267442, , , 
7,0.1760571, ,7,0.02596357, , , 
7.5,0.1812795, ,7.5,0.02947599, , , 
8,0.1866913, ,8,0.03320902, , , 
8.5,0.1922888, ,8.5,0.03715982, , , 
9,0.1980681, ,9,0.04132541, , , 
9.5,0.2040252, ,9.5,0.04570262, , , 
10,0.2101558, ,10,0.05028812, , , 
10.5,0.2164555, ,10.5,0.05507844, , , 
11,0.22292, ,11,0.06006992, , , 
11.5,0.2295447, ,11.5,0.06525877, , , 
12,0.2363247, ,12,0.07064103, , , 
12.5,0.2432551, ,12.5,0.0762126, , , 
13,0.2503311, ,13,0.08196923, , , 
13.5,0.2575474, ,13.5,0.08790651, , , 
14,0.2648987, ,14,0.09401992, , , 
14.5,0.2723799, ,14.5,0.1003048, , , 
15,0.2799852, ,15,0.1067562, , , 
15.5,0.2877093, ,15.5,0.1133694, , , 
16,0.2955463, ,16,0.1201392, , , 
16.5,0.3034905, ,16.5,0.1270603, , , 
17,0.311536, ,17,0.1341276, , , 
17.5,0.3196768, ,17.5,0.1413355, , , 
18,0.3279068, ,18,0.1486785, , , 
18.5,0.3362199, ,18.5,0.156151, , , 
19,0.3446099, ,19,0.1637471, , , 
19.5,0.3530704, ,19.5,0.171461, , , 
20,0.361595, ,20,0.1792867, , , 
