Alpha,M1 Takeoff, , Alpha,M1cruise, , Alpha,M2 cruise, , Alpha,M2 takeoff, , Alpha,M3 cruise, , Alpha,M3 takeoff, , 
          -20,    -0.5556189, ,           -20,     -1.418115, ,           -20,      -1.41557, ,           -20,    -0.5408364, ,           -20,      -1.41557, ,           -20,    -0.5408364, , 
        -19.5,    -0.5191938, ,         -19.5,      -1.38485, ,         -19.5,     -1.382325, ,         -19.5,    -0.5043336, ,         -19.5,     -1.382325, ,         -19.5,    -0.5043336, , 
          -19,    -0.4825484, ,           -19,     -1.351274, ,           -19,     -1.348771, ,           -19,    -0.4676113, ,           -19,     -1.348771, ,           -19,    -0.4676113, , 
        -18.5,    -0.4456895, ,         -18.5,     -1.317395, ,         -18.5,     -1.314911, ,         -18.5,    -0.4306763, ,         -18.5,     -1.314911, ,         -18.5,    -0.4306763, , 
          -18,    -0.4086241, ,           -18,     -1.283217, ,           -18,     -1.280753, ,           -18,    -0.3935356, ,           -18,     -1.280753, ,           -18,    -0.3935356, , 
        -17.5,    -0.3713593, ,         -17.5,     -1.248749, ,         -17.5,     -1.246303, ,         -17.5,    -0.3561964, ,         -17.5,     -1.246303, ,         -17.5,    -0.3561964, , 
          -17,    -0.3339024, ,           -17,     -1.213994, ,           -17,     -1.211567, ,           -17,    -0.3186662, ,           -17,     -1.211567, ,           -17,    -0.3186662, , 
        -16.5,    -0.2962608, ,         -16.5,     -1.178962, ,         -16.5,     -1.176552, ,         -16.5,    -0.2809522, ,         -16.5,     -1.176552, ,         -16.5,    -0.2809522, , 
          -16,    -0.2584419, ,           -16,     -1.143657, ,           -16,     -1.141264, ,           -16,    -0.2430622, ,           -16,     -1.141264, ,           -16,    -0.2430622, , 
        -15.5,    -0.2204534, ,         -15.5,     -1.108088, ,         -15.5,     -1.105711, ,         -15.5,    -0.2050037, ,         -15.5,     -1.105711, ,         -15.5,    -0.2050037, , 
          -15,    -0.1823031, ,           -15,      -1.07226, ,           -15,     -1.069899, ,           -15,    -0.1667847, ,           -15,     -1.069899, ,           -15,    -0.1667847, , 
        -14.5,    -0.1439988, ,         -14.5,     -1.036182, ,         -14.5,     -1.033837, ,         -14.5,    -0.1284129, ,         -14.5,     -1.033837, ,         -14.5,    -0.1284129, , 
          -14,    -0.1055484, ,           -14,    -0.9998605, ,           -14,    -0.9975297, ,           -14,   -0.08989648, ,           -14,    -0.9975297, ,           -14,   -0.08989648, , 
        -13.5,   -0.06696007, ,         -13.5,    -0.9633026, ,         -13.5,    -0.9609863, ,         -13.5,   -0.05124352, ,         -13.5,    -0.9609863, ,         -13.5,   -0.05124352, , 
          -13,   -0.02824194, ,           -13,    -0.9265163, ,           -13,     -0.924214, ,           -13,   -0.01246225, ,           -13,     -0.924214, ,           -13,   -0.01246225, , 
        -12.5,    0.01059773, ,         -12.5,    -0.8895091, ,         -12.5,    -0.8872205, ,         -12.5,    0.02643899, ,         -12.5,    -0.8872205, ,         -12.5,    0.02643899, , 
          -12,    0.04955058, ,           -12,    -0.8522889, ,           -12,    -0.8500135, ,           -12,    0.06545181, ,           -12,    -0.8500135, ,           -12,    0.06545181, , 
        -11.5,    0.08860818, ,         -11.5,    -0.8148635, ,         -11.5,     -0.812601, ,         -11.5,     0.1045677, ,         -11.5,     -0.812601, ,         -11.5,     0.1045677, , 
          -11,      0.127762, ,           -11,     -0.777241, ,           -11,    -0.7749911, ,           -11,     0.1437781, ,           -11,    -0.7749911, ,           -11,     0.1437781, , 
        -10.5,     0.1670035, ,         -10.5,    -0.7394295, ,         -10.5,    -0.7371919, ,         -10.5,     0.1830742, ,         -10.5,    -0.7371919, ,         -10.5,     0.1830742, , 
          -10,     0.2063239, ,           -10,    -0.7014373, ,           -10,    -0.6992117, ,           -10,     0.2224475, ,           -10,    -0.6992117, ,           -10,     0.2224475, , 
         -9.5,     0.2457145, ,          -9.5,    -0.6632726, ,          -9.5,    -0.6610588, ,          -9.5,     0.2618891, ,          -9.5,    -0.6610588, ,          -9.5,     0.2618891, , 
           -9,     0.2851665, ,            -9,     -0.624944, ,            -9,    -0.6227417, ,            -9,     0.3013901, ,            -9,    -0.6227417, ,            -9,     0.3013901, , 
         -8.5,      0.324671, ,          -8.5,    -0.5864599, ,          -8.5,     -0.584269, ,          -8.5,     0.3409416, ,          -8.5,     -0.584269, ,          -8.5,     0.3409416, , 
           -8,     0.3642192, ,            -8,    -0.5478289, ,            -8,    -0.5456492, ,            -8,     0.3805346, ,            -8,    -0.5456492, ,            -8,     0.3805346, , 
         -7.5,      0.403802, ,          -7.5,    -0.5090598, ,          -7.5,    -0.5068911, ,          -7.5,     0.4201601, ,          -7.5,    -0.5068911, ,          -7.5,     0.4201601, , 
           -7,     0.4434105, ,            -7,    -0.4701612, ,            -7,    -0.4680035, ,            -7,      0.459809, ,            -7,    -0.4680035, ,            -7,      0.459809, , 
         -6.5,     0.4830355, ,          -6.5,     -0.431142, ,          -6.5,    -0.4289952, ,          -6.5,     0.4994723, ,          -6.5,    -0.4289952, ,          -6.5,     0.4994723, , 
           -6,      0.522668, ,            -6,    -0.3920112, ,            -6,    -0.3898752, ,            -6,     0.5391407, ,            -6,    -0.3898752, ,            -6,     0.5391407, , 
         -5.5,     0.5622988, ,          -5.5,    -0.3527776, ,          -5.5,    -0.3506525, ,          -5.5,     0.5788051, ,          -5.5,    -0.3506525, ,          -5.5,     0.5788051, , 
           -5,     0.6019189, ,            -5,    -0.3134503, ,            -5,    -0.3113361, ,            -5,     0.6184563, ,            -5,    -0.3113361, ,            -5,     0.6184563, , 
         -4.5,     0.6415189, ,          -4.5,    -0.2740385, ,          -4.5,    -0.2719351, ,          -4.5,      0.658085, ,          -4.5,    -0.2719351, ,          -4.5,      0.658085, , 
           -4,     0.6810899, ,            -4,    -0.2345511, ,            -4,    -0.2324586, ,            -4,     0.6976821, ,            -4,    -0.2324586, ,            -4,     0.6976821, , 
         -3.5,     0.7206224, ,          -3.5,    -0.1949973, ,          -3.5,    -0.1929159, ,          -3.5,     0.7372383, ,          -3.5,    -0.1929159, ,          -3.5,     0.7372383, , 
           -3,     0.7601075, ,            -3,    -0.1553865, ,            -3,    -0.1533163, ,            -3,     0.7767443, ,            -3,    -0.1533163, ,            -3,     0.7767443, , 
         -2.5,     0.7995357, ,          -2.5,    -0.1157278, ,          -2.5,    -0.1136688, ,          -2.5,     0.8161908, ,          -2.5,    -0.1136688, ,          -2.5,     0.8161908, , 
           -2,      0.838898, ,            -2,   -0.07603039, ,            -2,   -0.07398296, ,            -2,     0.8555687, ,            -2,   -0.07398296, ,            -2,     0.8555687, , 
         -1.5,     0.8781852, ,          -1.5,   -0.03630369, ,          -1.5,   -0.03426796, ,          -1.5,     0.8948687, ,          -1.5,   -0.03426796, ,          -1.5,     0.8948687, , 
           -1,      0.917388, ,            -1,   0.003443044, ,            -1,   0.005466817, ,            -1,     0.9340815, ,            -1,   0.005466817, ,            -1,     0.9340815, , 
         -0.5,     0.9564973, ,          -0.5,    0.04320049, ,          -0.5,    0.04521204, ,          -0.5,      0.973198, ,          -0.5,    0.04521204, ,          -0.5,      0.973198, , 
