Speed (m/s),Thrust (kgf)
0,6.90802488
0.1,6.904313148
0.2,6.900601415
0.3,6.896889683
0.4,6.89317795
0.5,6.889466217
0.6,6.885754485
0.7,6.882042752
0.8,6.87833102
0.9,6.874619287
1,6.870907555
1.1,6.867195822
1.2,6.86348409
1.3,6.859772357
1.4,6.856060624
1.5,6.852348892
1.6,6.848637159
1.7,6.844779984
1.8,6.840874944
1.9,6.836725714
2,6.832576485
2.1,6.828427255
2.2,6.824278025
2.3,6.820128796
2.4,6.815979566
2.5,6.811830337
2.6,6.807681107
2.7,6.803531877
2.8,6.799382648
2.9,6.795233418
3,6.791084189
3.1,6.786934959
3.2,6.782785729
3.3,6.778486885
3.4,6.774143182
3.5,6.769799479
3.6,6.765381814
3.7,6.76072711
3.8,6.756072406
3.9,6.751417702
4,6.746762997
4.1,6.742108293
4.2,6.737453589
4.3,6.732798885
4.4,6.728144181
4.5,6.723489476
4.6,6.718834772
4.7,6.714180068
4.8,6.709525364
4.9,6.704730095
5,6.699867565
5.1,6.695005034
5.2,6.690142503
5.3,6.685279972
5.4,6.680306298
5.5,6.67508757
5.6,6.669868841
5.7,6.664650112
5.8,6.659431383
5.9,6.654212654
6,6.648993925
6.1,6.643775196
6.2,6.638556467
6.3,6.633337738
6.4,6.628119009
6.5,6.622769309
6.6,6.617326072
6.7,6.611882836
6.8,6.606439599
6.9,6.600996362
7,6.595553126
7.1,6.590109889
7.2,6.58449709
7.3,6.578660376
7.4,6.572823663
7.5,6.56698695
7.6,6.561150237
7.7,6.555313523
7.8,6.54947681
7.9,6.543640097
8,6.537803383
8.1,6.531848721
8.2,6.525747363
8.3,6.519646005
8.4,6.513544646
8.5,6.507443288
8.6,6.50134193
8.7,6.495240571
8.8,6.489139213
8.9,6.483037854
9,6.476699451
9.1,6.470166979
9.2,6.463634507
9.3,6.457102035
9.4,6.450569564
9.5,6.444037092
9.6,6.43750462
9.7,6.430873817
9.8,6.424062553
9.9,6.417251289
10,6.410440026
10.1,6.403628762
10.2,6.396817498
10.3,6.390006235
10.4,6.383194971
10.5,6.376383707
10.6,6.369572444
10.7,6.36276118
10.8,6.355639428
10.9,6.348363885
11,6.341088342
11.1,6.333812799
11.2,6.326537256
11.3,6.319182722
11.4,6.311603043
11.5,6.304023363
11.6,6.296443684
11.7,6.288864004
11.8,6.281284325
11.9,6.273704645
12,6.266124966
12.1,6.258545286
12.2,6.250965606
12.3,6.243385927
12.4,6.235806247
12.5,6.228226568
12.6,6.220254631
12.7,6.212146986
12.8,6.20403934
12.9,6.195879584
13,6.187459412
13.1,6.17903924
13.2,6.170619068
13.3,6.162198897
13.4,6.153778725
13.5,6.145358553
13.6,6.136938382
13.7,6.12851821
13.8,6.120098038
13.9,6.111677866
14,6.103257695
14.1,6.094837523
14.2,6.086417351
14.3,6.077997179
14.4,6.069102232
14.5,6.060120833
14.6,6.05079322
14.7,6.041465607
14.8,6.032137993
14.9,6.02281038
15,6.013482767
15.1,6.004155154
15.2,5.994827541
15.3,5.985499928
15.4,5.976172315
15.5,5.966844702
15.6,5.957517089
15.7,5.948189476
15.8,5.938861863
15.9,5.92953425
16,5.920206637
16.1,5.910879024
16.2,5.900646414
16.3,5.89037978
16.4,5.880113145
16.5,5.869846511
16.6,5.859579877
16.7,5.849313242
16.8,5.839046608
16.9,5.828779973
17,5.818513339
17.1,5.808246704
17.2,5.79798007
17.3,5.787713435
17.4,5.777446801
17.5,5.767180166
17.6,5.756913532
17.7,5.746646897
17.8,5.736070161
17.9,5.725373635
18,5.714116467
18.1,5.702859299
18.2,5.691602131
18.3,5.680344962
18.4,5.669087794
18.5,5.657830626
18.6,5.646573458
18.7,5.63531629
18.8,5.624059121
18.9,5.612801953
19,5.601544785
19.1,5.590287617
19.2,5.579030449
19.3,5.567773281
19.4,5.556237432
19.5,5.544585203
19.6,5.532932973
19.7,5.521145686
19.8,5.508875617
19.9,5.496605549
20,5.48433548
20.1,5.472065412
20.2,5.459795343
20.3,5.447525274
20.4,5.435255206
20.5,5.422985137
20.6,5.410715069
20.7,5.398445
20.8,5.386174932
20.9,5.373904863
21,5.361394207
21.1,5.348731295
21.2,5.336068383
21.3,5.323405472
21.4,5.31074256
21.5,5.297880858
21.6,5.284539023
21.7,5.271197189
21.8,5.257855354
21.9,5.244513519
22,5.231171685
22.1,5.21782985
22.2,5.204488015
22.3,5.191146181
22.4,5.177804346
22.5,5.164462511
22.6,5.150927341
22.7,5.137213312
22.8,5.123499282
22.9,5.109785252
23,5.096071222
23.1,5.082357192
23.2,5.068643163
23.3,5.054654439
23.4,5.040273209
23.5,5.02589198
23.6,5.011510751
23.7,4.997129522
23.8,4.982748292
23.9,4.968367063
24,4.953985834
24.1,4.939604605
24.2,4.925072293
24.3,4.910295315
24.4,4.895518336
24.5,4.880741357
24.6,4.865964378
24.7,4.851187399
24.8,4.836410421
24.9,4.821633442
25,4.806856463
25.1,4.791725454
25.2,4.776281276
25.3,4.760837097
25.4,4.745392919
25.5,4.729948741
25.6,4.714504563
25.7,4.699060384
25.8,4.68351008
25.9,4.667698404
26,4.651886727
26.1,4.636075051
26.2,4.620263374
26.3,4.604451698
26.4,4.588640021
26.5,4.572828345
26.6,4.557016668
26.7,4.541204992
26.8,4.525393315
26.9,4.509177945
27,4.492744752
27.1,4.476311559
27.2,4.459878366
27.3,4.443445173
27.4,4.426949123
27.5,4.410194902
27.6,4.393440681
27.7,4.37668646
27.8,4.359932238
27.9,4.343178017
28,4.326423796
28.1,4.309669575
28.2,4.292915353
28.3,4.276161132
28.4,4.259406911
28.5,4.24265269
28.6,4.225898469
28.7,4.208670405
28.8,4.191261467
28.9,4.17385253
29,4.156425868
29.1,4.138711945
29.2,4.120998021
29.3,4.103284097
29.4,4.085570174
29.5,4.06785625
29.6,4.050142326
29.7,4.032428403
29.8,4.014714479
29.9,3.997000556
30,3.979286632
30.1,3.961572708
30.2,3.943858785
30.3,3.926144861
30.4,3.908430938
30.5,3.890226879
30.6,3.871931295
30.7,3.853415561
30.8,3.834891874
30.9,3.816368187
31,3.7978445
31.1,3.779320813
31.2,3.760797126
31.3,3.742273439
31.4,3.723749752
31.5,3.705226065
31.6,3.686702378
31.7,3.668178691
31.8,3.649655004
31.9,3.631131317
32,3.612607629
32.1,3.594083942
32.2,3.575560255
32.3,3.556404737
32.4,3.537206754
32.5,3.518008771
32.6,3.498810788
32.7,3.479612805
32.8,3.460414822
32.9,3.441216839
33,3.422018856
33.1,3.402820873
33.2,3.38362289
