Alpha,M1 Cruise, , Alpha,M1 Dynamic, , Alpha,M1 Takeoff, , Alpha,M2 Cruise, , Alpha,M2 Dynamic, , 
          -20,     0.1238388, ,     0.5892788,   0.002019236, ,           -20,      0.129089, ,           -20,     0.1238388, ,      3.386098,   0.008765904, , 
        -19.5,     0.1179792, ,     0.5892788,   0.002019236, ,         -19.5,     0.1274281, ,         -19.5,     0.1179792, ,      3.386098,   0.008765904, , 
          -19,     0.1122173, ,     0.5892788,   0.002019236, ,           -19,     0.1259094, ,           -19,     0.1122173, ,      3.386098,   0.008765904, , 
        -18.5,     0.1065577, ,     0.5892788,   0.002019236, ,         -18.5,     0.1245355, ,         -18.5,     0.1065577, ,      3.386098,   0.008765904, , 
          -18,     0.1010049, ,     0.5892788,   0.002019236, ,           -18,     0.1233087, ,           -18,     0.1010049, ,      3.386098,   0.008765904, , 
        -17.5,    0.09556325, ,     0.5892788,   0.002019236, ,         -17.5,     0.1222314, ,         -17.5,    0.09556325, ,      3.386098,   0.008765904, , 
          -17,    0.09023706, ,     0.5892788,   0.002019236, ,           -17,     0.1213055, ,           -17,    0.09023706, ,      3.386098,   0.008765904, , 
        -16.5,    0.08503056, , , , ,         -16.5,     0.1205332, ,         -16.5,    0.08503056, , , , , 
          -16,    0.07994786, , , , ,           -16,     0.1199163, ,           -16,    0.07994786, , , , , 
        -15.5,    0.07499298, , , , ,         -15.5,     0.1194566, ,         -15.5,    0.07499298, , , , , 
          -15,    0.07016983, , , , ,           -15,     0.1191558, ,           -15,    0.07016983, , , , , 
        -14.5,    0.06548223, , , , ,         -14.5,     0.1190153, ,         -14.5,    0.06548223, , , , , 
          -14,    0.06093388, , , , ,           -14,     0.1190366, ,           -14,    0.06093388, , , , , 
        -13.5,    0.05652839, , , , ,         -13.5,     0.1192208, ,         -13.5,    0.05652839, , , , , 
          -13,    0.05226923, , , , ,           -13,     0.1195692, ,           -13,    0.05226923, , , , , 
        -12.5,    0.04815978, , , , ,         -12.5,     0.1200827, ,         -12.5,    0.04815978, , , , , 
          -12,    0.04420328, , , , ,           -12,     0.1207621, ,           -12,    0.04420328, , , , , 
        -11.5,    0.04040288, , , , ,         -11.5,     0.1216083, ,         -11.5,    0.04040288, , , , , 
          -11,    0.03676159, , , , ,           -11,     0.1226218, ,           -11,    0.03676159, , , , , 
        -10.5,    0.03328229, , , , ,         -10.5,     0.1238031, ,         -10.5,    0.03328229, , , , , 
          -10,    0.02996776, , , , ,           -10,     0.1251524, ,           -10,    0.02996776, , , , , 
         -9.5,    0.02682063, , , , ,          -9.5,     0.1266701, ,          -9.5,    0.02682063, , , , , 
           -9,     0.0238434, , , , ,            -9,     0.1283561, ,            -9,     0.0238434, , , , , 
         -8.5,    0.02103846, , , , ,          -8.5,     0.1302103, ,          -8.5,    0.02103846, , , , , 
           -8,    0.01840805, , , , ,            -8,     0.1322327, ,            -8,    0.01840805, , , , , 
         -7.5,    0.01595428, , , , ,          -7.5,     0.1344227, ,          -7.5,    0.01595428, , , , , 
           -7,    0.01367913, , , , ,            -7,     0.1367801, ,            -7,    0.01367913, , , , , 
         -6.5,    0.01158444, , , , ,          -6.5,      0.139304, ,          -6.5,    0.01158444, , , , , 
           -6,   0.009671908, , , , ,            -6,     0.1419938, ,            -6,   0.009671908, , , , , 
         -5.5,   0.007943093, , , , ,          -5.5,     0.1448486, ,          -5.5,   0.007943093, , , , , 
           -5,   0.006399419, , , , ,            -5,     0.1478675, ,            -5,   0.006399419, , , , , 
         -4.5,   0.005042166, , , , ,          -4.5,     0.1510491, ,          -4.5,   0.005042166, , , , , 
           -4,    0.00387247, , , , ,            -4,     0.1543923, ,            -4,    0.00387247, , , , , 
         -3.5,   0.002891326, , , , ,          -3.5,     0.1578957, ,          -3.5,   0.002891326, , , , , 
           -3,   0.002099584, , , , ,            -3,     0.1615577, ,            -3,   0.002099584, , , , , 
         -2.5,   0.001497952, , , , ,          -2.5,     0.1653766, ,          -2.5,   0.001497952, , , , , 
           -2,   0.001086989, , , , ,            -2,     0.1693506, ,            -2,   0.001086989, , , , , 
         -1.5,  0.0008671126, , , , ,          -1.5,     0.1734779, ,          -1.5,  0.0008671126, , , , , 
           -1,  0.0008385924, , , , ,            -1,     0.1777564, ,            -1,  0.0008385924, , , , , 
         -0.5,   0.001001553, , , , ,          -0.5,     0.1821839, ,          -0.5,   0.001001553, , , , , 
            0,   0.001355974, , , , ,             0,      0.186758, ,             0,   0.001355974, , , , , 
          0.5,   0.001901688, , , , ,           0.5,     0.1914765, ,           0.5,   0.001901688, , , , , 
            1,   0.002638382, , , , ,             1,     0.1963367, ,             1,   0.002638382, , , , , 
          1.5,   0.003565598, , , , ,           1.5,     0.2013361, ,           1.5,   0.003565598, , , , , 
            2,   0.004682732, , , , ,             2,     0.2064717, ,             2,   0.004682732, , , , , 
          2.5,   0.005989036, , , , ,           2.5,     0.2117408, ,           2.5,   0.005989036, , , , , 
            3,   0.007483618, , , , ,             3,     0.2171403, ,             3,   0.007483618, , , , , 
          3.5,    0.00916544, , , , ,           3.5,     0.2226672, ,           3.5,    0.00916544, , , , , 
            4,    0.01103332, , , , ,             4,     0.2283182, ,             4,    0.01103332, , , , , 
          4.5,    0.01308595, , , , ,           4.5,       0.23409, ,           4.5,    0.01308595, , , , , 
            5,    0.01532185, , , , ,             5,     0.2399792, ,             5,    0.01532185, , , , , 
          5.5,    0.01773943, , , , ,           5.5,     0.2459822, ,           5.5,    0.01773943, , , , , 
            6,    0.02033694, , , , ,             6,     0.2520955, ,             6,    0.02033694, , , , , 
          6.5,     0.0231125, , , , ,           6.5,     0.2583152, ,           6.5,     0.0231125, , , , , 
            7,    0.02606409, , , , ,             7,     0.2646376, ,             7,    0.02606409, , , , , 
          7.5,    0.02918958, , , , ,           7.5,     0.2710588, ,           7.5,    0.02918958, , , , , 
            8,    0.03248665, , , , ,             8,     0.2775748, ,             8,    0.03248665, , , , , 
          8.5,    0.03595291, , , , ,           8.5,     0.2841814, ,           8.5,    0.03595291, , , , , 
            9,     0.0395858, , , , ,             9,     0.2908746, ,             9,     0.0395858, , , , , 
          9.5,    0.04338265, , , , ,           9.5,       0.29765, ,           9.5,    0.04338265, , , , , 
           10,    0.04734064, , , , ,            10,     0.3045034, ,            10,    0.04734064, , , , , 
         10.5,    0.05145686, , , , ,          10.5,     0.3114303, ,          10.5,    0.05145686, , , , , 
           11,    0.05572825, , , , ,            11,     0.3184262, ,            11,    0.05572825, , , , , 
         11.5,    0.06015163, , , , ,          11.5,     0.3254867, ,          11.5,    0.06015163, , , , , 
           12,    0.06472371, , , , ,            12,     0.3326071, ,            12,    0.06472371, , , , , 
         12.5,    0.06944109, , , , ,          12.5,     0.3397828, ,          12.5,    0.06944109, , , , , 
           13,    0.07430025, , , , ,            13,      0.347009, ,            13,    0.07430025, , , , , 
         13.5,    0.07929755, , , , ,          13.5,     0.3542809, ,          13.5,    0.07929755, , , , , 
           14,    0.08442925, , , , ,            14,     0.3615936, ,            14,    0.08442925, , , , , 
         14.5,    0.08969149, , , , ,          14.5,     0.3689424, ,          14.5,    0.08969149, , , , , 
           15,    0.09508033, , , , ,            15,     0.3763222, ,            15,    0.09508033, , , , , 
         15.5,     0.1005917, , , , ,          15.5,     0.3837282, ,          15.5,     0.1005917, , , , , 
           16,     0.1062215, , , , ,            16,     0.3911552, ,            16,     0.1062215, , , , , 
         16.5,     0.1119654, , , , ,          16.5,     0.3985982, ,          16.5,     0.1119654, , , , , 
           17,     0.1178191, , , , ,            17,     0.4060521, ,            17,     0.1178191, , , , , 
         17.5,     0.1237782, , , , ,          17.5,     0.4135118, ,          17.5,     0.1237782, , , , , 
           18,     0.1298382, , , , ,            18,     0.4209722, ,            18,     0.1298382, , , , , 
         18.5,     0.1359944, , , , ,          18.5,     0.4284281, ,          18.5,     0.1359944, , , , , 
           19,     0.1422421, , , , ,            19,     0.4358743, ,            19,     0.1422421, , , , , 
         19.5,     0.1485767, , , , ,          19.5,     0.4433057, ,          19.5,     0.1485767, , , , , 
           20,     0.1549933, , , , ,            20,      0.450717, ,            20,     0.1549933, , , , , 

